Vardas         Pavarde         ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	Egz.
Vardas8281     Pavarde8281     8	2	5	6	6	2	2	2	5	8	
Vardas8282     Pavarde8282     5	7	2	8	6	5	2	3	2	1	
Vardas8283     Pavarde8283     5	6	5	7	6	8	7	1	6	10	
Vardas8284     Pavarde8284     4	10	1	1	6	1	6	4	9	7	
Vardas8285     Pavarde8285     9	7	3	6	3	9	8	5	8	4	
Vardas8286     Pavarde8286     9	10	7	8	1	10	2	4	7	8	
Vardas8287     Pavarde8287     6	2	6	9	8	7	10	9	2	1	
Vardas8288     Pavarde8288     8	4	8	4	7	9	8	7	3	7	
Vardas8289     Pavarde8289     10	4	8	4	5	3	4	1	7	7	
Vardas8290     Pavarde8290     4	6	1	2	8	10	1	6	4	10	
Vardas8291     Pavarde8291     3	1	6	5	1	9	6	8	3	2	
Vardas8292     Pavarde8292     2	4	4	6	3	3	4	10	6	3	
Vardas8293     Pavarde8293     8	10	6	10	9	1	3	5	6	7	
Vardas8294     Pavarde8294     1	2	5	2	9	1	7	4	2	9	
Vardas8295     Pavarde8295     4	3	6	4	8	1	7	8	8	8	
Vardas8296     Pavarde8296     7	6	3	9	8	9	4	5	4	6	
Vardas8297     Pavarde8297     1	9	2	5	2	3	6	9	7	3	
Vardas8298     Pavarde8298     5	3	5	5	5	5	8	6	7	8	
Vardas8299     Pavarde8299     9	5	7	8	9	8	7	3	3	3	
Vardas8300     Pavarde8300     3	8	3	4	1	4	10	1	3	3	
Vardas8301     Pavarde8301     1	3	3	6	2	4	9	5	1	7	
Vardas8302     Pavarde8302     8	7	4	2	3	6	3	4	5	5	
Vardas8303     Pavarde8303     1	3	1	7	1	3	4	3	6	3	
Vardas8304     Pavarde8304     10	10	3	7	4	7	2	9	4	2	
Vardas8305     Pavarde8305     5	7	2	9	2	4	6	10	5	7	
Vardas8306     Pavarde8306     9	8	6	10	2	10	7	7	5	8	
Vardas8307     Pavarde8307     1	7	1	8	10	7	1	10	6	8	
Vardas8308     Pavarde8308     3	2	8	10	7	6	7	4	4	4	
Vardas8309     Pavarde8309     7	5	7	2	2	5	2	2	8	1	
Vardas8310     Pavarde8310     9	2	3	7	3	2	10	10	8	6	
Vardas8311     Pavarde8311     5	4	5	1	1	7	9	4	9	9	
Vardas8312     Pavarde8312     9	7	10	3	4	2	3	8	10	9	
Vardas8313     Pavarde8313     1	7	10	1	8	1	10	5	6	9	
Vardas8314     Pavarde8314     1	6	2	2	1	2	9	4	5	5	
Vardas8315     Pavarde8315     6	6	9	3	7	4	8	5	1	3	
Vardas8316     Pavarde8316     4	6	1	5	6	9	9	8	9	7	
Vardas8317     Pavarde8317     10	2	7	5	5	8	8	1	1	9	
Vardas8318     Pavarde8318     10	10	8	2	8	4	5	3	5	6	
Vardas8319     Pavarde8319     3	2	4	2	1	2	7	5	10	6	
Vardas8320     Pavarde8320     5	3	2	2	10	5	4	6	4	2	
Vardas8321     Pavarde8321     6	5	1	9	8	1	3	8	7	1	
Vardas8322     Pavarde8322     4	2	3	8	4	7	2	10	7	8	
Vardas8323     Pavarde8323     6	8	2	7	7	5	2	10	1	2	
Vardas8324     Pavarde8324     1	5	9	4	3	5	8	1	8	7	
Vardas8325     Pavarde8325     2	4	3	2	4	6	7	1	8	10	
Vardas8326     Pavarde8326     10	7	2	3	3	2	3	3	8	10	
Vardas8327     Pavarde8327     6	10	5	4	5	1	6	5	3	9	
Vardas8328     Pavarde8328     1	3	9	10	4	3	1	9	5	3	
Vardas8329     Pavarde8329     2	10	6	7	5	2	4	1	1	1	
Vardas8330     Pavarde8330     5	9	10	7	5	1	2	4	10	8	
Vardas8331     Pavarde8331     7	8	7	8	1	4	3	7	6	6	
Vardas8332     Pavarde8332     6	3	7	10	7	3	7	7	5	7	
Vardas8333     Pavarde8333     7	2	1	9	3	3	6	7	4	1	
Vardas8334     Pavarde8334     4	3	4	3	8	7	7	3	4	4	
Vardas8335     Pavarde8335     3	1	8	9	6	5	7	9	10	5	
Vardas8336     Pavarde8336     1	1	7	7	2	7	2	2	2	5	
Vardas8337     Pavarde8337     8	2	6	9	5	1	10	2	8	9	
Vardas8338     Pavarde8338     2	10	9	2	1	8	2	3	6	6	
Vardas8339     Pavarde8339     6	7	10	5	1	2	8	4	3	9	
Vardas8340     Pavarde8340     10	10	9	10	4	6	6	4	2	6	
Vardas8341     Pavarde8341     1	10	5	8	3	2	8	8	1	10	
Vardas8342     Pavarde8342     6	2	2	5	10	9	6	1	1	9	
Vardas8343     Pavarde8343     7	6	3	6	2	7	1	6	6	10	
Vardas8344     Pavarde8344     4	1	9	4	5	4	8	7	3	1	
Vardas8345     Pavarde8345     7	1	6	8	10	10	6	7	6	7	
Vardas8346     Pavarde8346     7	1	8	8	3	2	9	6	2	8	
Vardas8347     Pavarde8347     2	6	6	1	3	4	5	1	9	10	
Vardas8348     Pavarde8348     6	10	10	5	6	4	5	8	5	2	
Vardas8349     Pavarde8349     8	4	5	3	5	2	1	2	9	8	
Vardas8350     Pavarde8350     10	3	7	1	1	10	9	4	3	8	
Vardas8351     Pavarde8351     5	3	8	3	9	8	4	1	5	2	
Vardas8352     Pavarde8352     8	1	5	3	2	3	8	4	9	9	
Vardas8353     Pavarde8353     8	8	9	4	7	9	4	7	8	4	
Vardas8354     Pavarde8354     8	10	1	8	9	3	8	2	3	2	
Vardas8355     Pavarde8355     1	10	4	2	1	9	4	4	8	6	
Vardas8356     Pavarde8356     4	9	7	2	6	1	6	10	2	9	
Vardas8357     Pavarde8357     1	5	8	2	9	3	10	6	2	1	
Vardas8358     Pavarde8358     10	3	1	6	5	2	3	7	9	6	
Vardas8359     Pavarde8359     5	8	8	4	3	2	8	7	7	10	
Vardas8360     Pavarde8360     1	10	6	9	3	6	7	4	6	3	
Vardas8361     Pavarde8361     1	10	2	1	2	2	5	9	5	3	
Vardas8362     Pavarde8362     10	8	4	4	3	2	8	9	2	9	
Vardas8363     Pavarde8363     1	7	2	8	8	4	9	8	10	6	
Vardas8364     Pavarde8364     1	4	6	5	7	3	7	4	8	7	
Vardas8365     Pavarde8365     7	10	2	4	1	4	7	1	9	5	
Vardas8366     Pavarde8366     2	6	1	8	1	10	8	9	1	1	
Vardas8367     Pavarde8367     9	10	10	6	3	10	10	7	10	5	
Vardas8368     Pavarde8368     5	9	1	9	4	5	4	9	10	8	
Vardas8369     Pavarde8369     10	4	5	6	8	1	9	8	3	4	
Vardas8370     Pavarde8370     10	2	3	1	1	4	4	5	6	2	
Vardas8371     Pavarde8371     8	5	7	8	6	3	1	4	5	5	
Vardas8372     Pavarde8372     2	3	1	5	7	8	3	9	7	8	
Vardas8373     Pavarde8373     2	1	1	6	3	3	7	5	9	7	
Vardas8374     Pavarde8374     9	6	2	4	1	9	10	3	9	1	
Vardas8375     Pavarde8375     4	5	1	5	8	1	2	9	5	1	
Vardas8376     Pavarde8376     3	10	3	8	9	8	5	10	6	3	
Vardas8377     Pavarde8377     6	2	1	9	3	10	9	7	7	4	
Vardas8378     Pavarde8378     2	10	8	9	7	10	8	2	7	6	
Vardas8379     Pavarde8379     3	3	3	10	3	9	7	7	9	3	
Vardas8380     Pavarde8380     9	8	7	8	4	3	7	2	2	7	
Vardas8381     Pavarde8381     5	10	10	6	3	5	9	6	4	1	
Vardas8382     Pavarde8382     8	7	4	4	1	9	1	4	1	10	
Vardas8383     Pavarde8383     5	3	3	4	1	2	6	5	4	6	
Vardas8384     Pavarde8384     2	6	4	2	1	9	8	1	3	6	
Vardas8385     Pavarde8385     1	9	1	5	8	7	8	1	10	4	
Vardas8386     Pavarde8386     1	9	8	5	10	7	5	5	7	2	
Vardas8387     Pavarde8387     6	10	9	6	3	8	5	2	5	5	
Vardas8388     Pavarde8388     3	4	7	7	10	10	7	10	3	8	
Vardas8389     Pavarde8389     3	9	8	7	8	9	1	5	8	7	
Vardas8390     Pavarde8390     10	1	2	3	5	6	7	9	4	6	
Vardas8391     Pavarde8391     5	3	9	8	2	5	6	4	9	8	
Vardas8392     Pavarde8392     7	10	3	5	7	2	6	6	6	7	
Vardas8393     Pavarde8393     2	6	6	6	7	6	3	8	10	2	
Vardas8394     Pavarde8394     1	3	6	6	6	5	7	4	5	5	
Vardas8395     Pavarde8395     1	3	10	2	10	5	6	2	7	2	
Vardas8396     Pavarde8396     9	3	9	10	10	3	7	2	9	9	
Vardas8397     Pavarde8397     1	4	9	5	2	2	4	6	10	8	
Vardas8398     Pavarde8398     9	7	2	4	8	10	1	8	4	7	
Vardas8399     Pavarde8399     3	5	1	3	9	2	4	9	7	2	
Vardas8400     Pavarde8400     8	9	5	10	1	10	1	7	4	10	
Vardas8401     Pavarde8401     9	1	10	9	9	10	6	2	7	3	
Vardas8402     Pavarde8402     3	7	10	3	7	6	4	9	2	2	
Vardas8403     Pavarde8403     9	8	8	3	6	4	7	9	10	2	
Vardas8404     Pavarde8404     3	3	4	6	2	1	1	4	10	7	
Vardas8405     Pavarde8405     9	8	7	1	4	1	3	8	5	9	
Vardas8406     Pavarde8406     8	10	10	4	1	10	1	1	10	10	
Vardas8407     Pavarde8407     1	6	2	10	2	2	4	7	8	9	
Vardas8408     Pavarde8408     5	7	2	5	2	5	7	6	1	9	
Vardas8409     Pavarde8409     9	7	3	6	3	1	7	2	8	7	
Vardas8410     Pavarde8410     7	9	1	8	10	6	3	8	7	9	
Vardas8411     Pavarde8411     8	10	1	1	9	5	9	8	7	2	
Vardas8412     Pavarde8412     6	1	10	1	3	3	4	10	8	1	
Vardas8413     Pavarde8413     1	7	8	5	1	2	5	1	7	7	
Vardas8414     Pavarde8414     2	6	5	4	2	3	4	8	8	4	
Vardas8415     Pavarde8415     6	4	4	7	8	1	2	6	6	7	
Vardas8416     Pavarde8416     7	8	7	4	5	1	5	6	7	10	
Vardas8417     Pavarde8417     9	2	10	6	2	5	6	3	8	2	
Vardas8418     Pavarde8418     7	10	5	1	8	8	10	6	6	6	
Vardas8419     Pavarde8419     4	7	6	5	4	7	7	4	9	4	
Vardas8420     Pavarde8420     6	1	7	2	3	4	5	8	6	9	
Vardas8421     Pavarde8421     3	3	3	8	1	3	1	2	5	10	
Vardas8422     Pavarde8422     9	2	9	7	4	9	2	6	6	2	
Vardas8423     Pavarde8423     4	1	10	3	8	2	8	6	5	4	
Vardas8424     Pavarde8424     2	6	8	8	10	3	3	7	6	1	
Vardas8425     Pavarde8425     5	5	10	9	1	1	2	5	4	10	
Vardas8426     Pavarde8426     7	7	9	6	3	3	4	1	2	9	
Vardas8427     Pavarde8427     10	2	2	10	8	4	9	4	2	4	
Vardas8428     Pavarde8428     8	3	1	7	4	3	8	6	2	1	
Vardas8429     Pavarde8429     9	6	6	3	7	6	4	5	5	3	
Vardas8430     Pavarde8430     2	6	2	1	4	1	5	8	2	7	
Vardas8431     Pavarde8431     4	5	9	3	9	3	2	7	4	1	
Vardas8432     Pavarde8432     3	4	10	9	8	6	8	6	7	7	
Vardas8433     Pavarde8433     6	5	3	9	4	6	10	4	7	2	
Vardas8434     Pavarde8434     7	2	6	10	4	2	8	3	3	9	
Vardas8435     Pavarde8435     6	4	8	10	6	7	5	1	10	8	
Vardas8436     Pavarde8436     8	10	1	7	4	8	9	5	10	4	
Vardas8437     Pavarde8437     9	9	5	5	4	7	3	1	7	8	
Vardas8438     Pavarde8438     8	9	3	7	9	10	8	4	6	5	
Vardas8439     Pavarde8439     3	7	2	6	9	8	4	1	3	2	
Vardas8440     Pavarde8440     7	5	5	1	10	1	1	1	3	4	
Vardas8441     Pavarde8441     10	1	3	8	9	2	6	6	7	1	
Vardas8442     Pavarde8442     4	8	5	10	8	7	3	3	4	2	
Vardas8443     Pavarde8443     9	7	4	7	5	8	1	1	1	2	
Vardas8444     Pavarde8444     6	3	2	7	2	7	4	6	4	4	
Vardas8445     Pavarde8445     2	2	5	2	4	7	1	3	2	7	
Vardas8446     Pavarde8446     3	8	8	7	9	4	3	5	5	1	
Vardas8447     Pavarde8447     6	1	3	7	10	10	8	5	7	5	
Vardas8448     Pavarde8448     3	2	1	10	6	10	1	4	4	7	
Vardas8449     Pavarde8449     10	1	1	2	2	4	3	8	3	10	
Vardas8450     Pavarde8450     6	5	5	5	9	8	10	10	2	1	
Vardas8451     Pavarde8451     6	2	2	3	4	3	5	10	8	7	
Vardas8452     Pavarde8452     4	10	6	5	1	1	1	8	9	6	
Vardas8453     Pavarde8453     7	10	2	1	4	2	3	2	7	5	
Vardas8454     Pavarde8454     7	7	6	6	2	3	8	2	8	7	
Vardas8455     Pavarde8455     1	10	3	1	7	10	4	8	4	8	
Vardas8456     Pavarde8456     3	3	4	7	9	4	7	6	4	7	
Vardas8457     Pavarde8457     3	1	9	8	2	3	10	2	1	10	
Vardas8458     Pavarde8458     5	7	3	9	6	9	4	4	2	8	
Vardas8459     Pavarde8459     7	4	1	3	6	4	8	1	6	9	
Vardas8460     Pavarde8460     8	1	8	5	6	3	3	4	7	2	
Vardas8461     Pavarde8461     10	3	6	6	10	9	2	1	1	8	
Vardas8462     Pavarde8462     6	6	2	6	8	4	8	2	4	8	
Vardas8463     Pavarde8463     9	9	10	10	1	6	6	3	4	9	
Vardas8464     Pavarde8464     5	5	10	4	2	6	3	2	8	7	
Vardas8465     Pavarde8465     1	2	3	2	3	7	2	3	3	8	
Vardas8466     Pavarde8466     8	10	7	2	5	9	1	9	10	6	
Vardas8467     Pavarde8467     3	4	3	7	2	8	6	10	1	6	
Vardas8468     Pavarde8468     2	1	6	6	3	2	5	1	6	3	
Vardas8469     Pavarde8469     7	2	2	10	4	3	8	6	4	3	
Vardas8470     Pavarde8470     9	6	7	1	3	3	7	4	9	6	
Vardas8471     Pavarde8471     5	1	5	8	8	6	4	3	10	6	
Vardas8472     Pavarde8472     1	2	10	3	10	1	2	9	6	5	
Vardas8473     Pavarde8473     10	3	4	8	2	8	4	2	6	2	
Vardas8474     Pavarde8474     8	1	10	3	4	10	3	2	1	3	
Vardas8475     Pavarde8475     6	8	10	3	10	10	8	6	7	4	
Vardas8476     Pavarde8476     3	9	8	8	6	8	4	8	1	2	
Vardas8477     Pavarde8477     9	2	4	5	2	4	3	3	7	3	
Vardas8478     Pavarde8478     9	1	1	6	3	6	3	10	1	5	
Vardas8479     Pavarde8479     8	4	2	4	3	2	4	3	5	3	
Vardas8480     Pavarde8480     10	5	8	2	7	7	1	6	2	4	
Vardas8481     Pavarde8481     3	4	10	9	8	5	1	3	8	1	
Vardas8482     Pavarde8482     2	9	3	10	1	4	9	7	5	7	
Vardas8483     Pavarde8483     3	5	4	7	7	6	1	5	1	4	
Vardas8484     Pavarde8484     10	8	3	8	7	7	1	9	9	5	
Vardas8485     Pavarde8485     9	3	8	10	2	10	6	7	4	2	
Vardas8486     Pavarde8486     10	4	8	2	10	10	7	6	10	6	
Vardas8487     Pavarde8487     7	2	6	4	2	9	5	3	4	10	
Vardas8488     Pavarde8488     3	6	2	5	8	2	9	7	7	2	
Vardas8489     Pavarde8489     10	6	5	8	2	3	10	3	9	5	
Vardas8490     Pavarde8490     5	6	1	4	4	6	8	2	2	6	
Vardas8491     Pavarde8491     10	6	5	8	2	1	8	6	3	5	
Vardas8492     Pavarde8492     10	7	3	4	4	6	2	3	6	3	
Vardas8493     Pavarde8493     4	1	9	7	1	9	2	1	1	1	
Vardas8494     Pavarde8494     3	4	3	8	8	8	4	4	4	7	
Vardas8495     Pavarde8495     4	5	2	7	5	8	2	7	4	6	
Vardas8496     Pavarde8496     1	1	7	9	6	5	9	10	3	7	
Vardas8497     Pavarde8497     7	8	8	9	2	10	9	9	4	6	
Vardas8498     Pavarde8498     3	3	6	6	7	10	9	10	9	5	
Vardas8499     Pavarde8499     7	3	1	1	3	9	10	10	10	7	
Vardas8500     Pavarde8500     8	9	5	5	8	10	2	10	2	10	
Vardas8501     Pavarde8501     9	6	2	6	7	3	8	8	3	4	
Vardas8502     Pavarde8502     6	3	1	8	5	4	4	1	1	8	
Vardas8503     Pavarde8503     7	7	5	2	10	2	10	2	4	3	
Vardas8504     Pavarde8504     7	8	4	9	4	8	5	1	2	10	
Vardas8505     Pavarde8505     5	1	7	9	7	5	1	5	3	4	
Vardas8506     Pavarde8506     10	1	9	1	7	1	3	1	8	1	
Vardas8507     Pavarde8507     5	6	10	5	8	7	4	7	3	1	
Vardas8508     Pavarde8508     1	4	4	1	10	10	3	10	10	6	
Vardas8509     Pavarde8509     9	4	6	3	3	7	4	10	10	6	
Vardas8510     Pavarde8510     8	6	9	4	3	3	10	9	10	3	
Vardas8511     Pavarde8511     6	4	1	2	6	2	4	10	9	9	
Vardas8512     Pavarde8512     4	5	8	10	4	3	8	9	7	2	
Vardas8513     Pavarde8513     10	9	1	2	6	1	1	4	6	5	
Vardas8514     Pavarde8514     4	3	9	4	9	4	9	7	10	1	
Vardas8515     Pavarde8515     6	2	4	2	9	9	4	5	1	8	
Vardas8516     Pavarde8516     3	5	1	3	2	2	1	8	2	10	
Vardas8517     Pavarde8517     2	4	7	9	2	5	4	7	5	7	
Vardas8518     Pavarde8518     8	1	10	5	9	2	10	8	5	8	
Vardas8519     Pavarde8519     5	3	6	2	7	1	2	6	3	2	
Vardas8520     Pavarde8520     10	6	2	10	8	6	4	1	7	8	
Vardas8521     Pavarde8521     4	5	5	8	9	2	7	10	10	10	
Vardas8522     Pavarde8522     6	6	8	6	6	6	9	7	10	4	
Vardas8523     Pavarde8523     10	1	5	6	6	7	7	10	5	7	
Vardas8524     Pavarde8524     1	3	10	10	1	4	5	1	9	3	
Vardas8525     Pavarde8525     9	10	4	9	6	4	1	1	6	8	
Vardas8526     Pavarde8526     8	7	6	4	5	7	8	4	8	9	
Vardas8527     Pavarde8527     2	8	5	8	5	8	6	5	1	5	
Vardas8528     Pavarde8528     6	8	3	2	4	10	1	4	2	2	
Vardas8529     Pavarde8529     5	1	5	1	6	4	10	6	8	2	
Vardas8530     Pavarde8530     9	6	2	2	10	7	9	8	5	3	
Vardas8531     Pavarde8531     10	4	8	8	4	2	1	6	8	1	
Vardas8532     Pavarde8532     3	1	6	8	4	6	10	3	10	3	
Vardas8533     Pavarde8533     8	9	8	9	1	7	6	6	6	3	
Vardas8534     Pavarde8534     3	10	8	2	2	8	3	8	3	1	
Vardas8535     Pavarde8535     4	5	9	7	1	3	2	1	10	9	
Vardas8536     Pavarde8536     1	5	8	2	4	1	7	10	4	5	
Vardas8537     Pavarde8537     2	2	2	8	5	3	4	1	9	4	
Vardas8538     Pavarde8538     4	1	10	1	1	5	6	1	10	9	
Vardas8539     Pavarde8539     10	2	8	7	3	6	5	2	4	9	
Vardas8540     Pavarde8540     8	7	5	6	7	4	5	7	7	3	
Vardas8541     Pavarde8541     10	2	9	10	1	2	9	7	4	1	
Vardas8542     Pavarde8542     6	3	10	2	9	5	6	6	1	10	
Vardas8543     Pavarde8543     10	8	8	7	1	7	1	8	6	6	
Vardas8544     Pavarde8544     5	2	8	6	7	9	5	9	1	8	
Vardas8545     Pavarde8545     3	2	6	4	1	7	7	6	2	4	
Vardas8546     Pavarde8546     6	8	4	7	2	3	3	9	9	7	
Vardas8547     Pavarde8547     10	1	2	8	9	3	3	6	1	8	
Vardas8548     Pavarde8548     3	9	8	8	10	1	3	6	7	2	
Vardas8549     Pavarde8549     5	5	8	3	4	8	7	6	2	5	
Vardas8550     Pavarde8550     6	5	7	5	7	5	5	1	8	3	
Vardas8551     Pavarde8551     5	9	2	7	8	4	6	9	8	5	
Vardas8552     Pavarde8552     8	4	4	1	3	2	10	5	6	8	
Vardas8553     Pavarde8553     3	9	6	7	10	6	2	10	4	9	
Vardas8554     Pavarde8554     1	10	4	7	4	8	1	2	5	7	
Vardas8555     Pavarde8555     7	10	5	9	9	7	4	10	5	5	
Vardas8556     Pavarde8556     3	10	10	5	4	3	5	8	9	5	
Vardas8557     Pavarde8557     4	2	5	8	9	8	9	10	1	8	
Vardas8558     Pavarde8558     9	2	3	10	10	8	7	7	10	1	
Vardas8559     Pavarde8559     4	3	5	8	2	2	9	4	6	10	
Vardas8560     Pavarde8560     5	8	9	1	2	2	2	9	6	7	
Vardas8561     Pavarde8561     7	6	5	7	7	7	7	1	10	8	
Vardas8562     Pavarde8562     7	9	7	6	2	2	5	2	10	8	
Vardas8563     Pavarde8563     7	7	2	3	7	5	1	9	8	4	
Vardas8564     Pavarde8564     9	6	8	6	5	10	8	3	2	4	
Vardas8565     Pavarde8565     4	9	4	8	5	1	6	4	3	1	
Vardas8566     Pavarde8566     9	2	8	3	9	2	1	5	6	7	
Vardas8567     Pavarde8567     8	5	4	1	2	3	6	2	2	1	
Vardas8568     Pavarde8568     5	2	2	6	8	3	10	2	9	2	
Vardas8569     Pavarde8569     9	6	1	3	9	8	4	7	10	7	
Vardas8570     Pavarde8570     5	2	9	4	8	6	9	1	4	2	
Vardas8571     Pavarde8571     8	4	9	6	2	1	9	1	8	10	
Vardas8572     Pavarde8572     4	10	5	10	3	4	5	3	8	1	
Vardas8573     Pavarde8573     3	6	7	9	6	7	10	9	7	10	
Vardas8574     Pavarde8574     7	4	9	8	3	1	9	9	7	6	
Vardas8575     Pavarde8575     4	10	9	4	7	6	4	10	3	10	
Vardas8576     Pavarde8576     4	1	8	2	6	5	9	10	3	7	
Vardas8577     Pavarde8577     2	3	3	2	8	6	7	7	6	5	
Vardas8578     Pavarde8578     7	7	10	4	1	4	4	8	6	8	
Vardas8579     Pavarde8579     9	6	10	3	8	5	3	3	5	8	
Vardas8580     Pavarde8580     7	9	3	1	5	4	3	4	4	7	
Vardas8581     Pavarde8581     6	10	6	5	7	9	6	5	8	7	
Vardas8582     Pavarde8582     2	3	4	10	3	2	8	9	1	2	
Vardas8583     Pavarde8583     4	6	10	4	5	10	7	1	2	9	
Vardas8584     Pavarde8584     1	4	1	8	8	5	8	9	4	8	
Vardas8585     Pavarde8585     1	6	1	4	10	2	7	4	4	7	
Vardas8586     Pavarde8586     6	9	3	9	3	6	7	9	6	7	
Vardas8587     Pavarde8587     6	9	4	8	4	9	2	1	8	9	
Vardas8588     Pavarde8588     7	3	2	2	4	4	7	2	8	8	
Vardas8589     Pavarde8589     8	4	4	9	4	5	6	9	2	5	
Vardas8590     Pavarde8590     8	10	1	1	10	1	6	6	10	9	
Vardas8591     Pavarde8591     5	6	8	9	10	9	8	8	1	9	
Vardas8592     Pavarde8592     3	6	4	7	10	8	7	10	9	8	
Vardas8593     Pavarde8593     9	4	5	8	10	9	4	3	6	8	
Vardas8594     Pavarde8594     9	8	4	1	3	1	2	8	2	10	
Vardas8595     Pavarde8595     4	6	2	10	7	9	3	8	2	8	
Vardas8596     Pavarde8596     3	1	9	10	1	4	7	2	7	5	
Vardas8597     Pavarde8597     6	2	5	7	2	10	5	4	4	9	
Vardas8598     Pavarde8598     3	5	3	3	9	2	9	2	9	6	
Vardas8599     Pavarde8599     9	3	6	1	2	3	7	8	10	6	
Vardas8600     Pavarde8600     8	2	6	4	6	8	2	2	5	7	
Vardas8601     Pavarde8601     3	6	8	4	5	9	5	2	7	6	
Vardas8602     Pavarde8602     7	6	8	5	4	4	1	8	6	5	
Vardas8603     Pavarde8603     2	7	4	2	2	3	10	9	6	1	
Vardas8604     Pavarde8604     6	5	2	10	8	2	1	7	9	2	
Vardas8605     Pavarde8605     2	6	5	9	9	8	9	3	8	7	
Vardas8606     Pavarde8606     4	9	8	3	7	2	5	1	10	2	
Vardas8607     Pavarde8607     5	2	4	9	3	7	7	8	6	3	
Vardas8608     Pavarde8608     10	4	3	4	5	5	8	7	3	4	
Vardas8609     Pavarde8609     7	9	7	1	5	1	8	6	6	5	
Vardas8610     Pavarde8610     2	3	1	3	6	5	9	6	5	6	
Vardas8611     Pavarde8611     7	3	9	6	4	4	9	3	2	8	
Vardas8612     Pavarde8612     1	8	6	3	6	6	9	9	6	1	
Vardas8613     Pavarde8613     9	8	10	1	8	6	5	4	5	8	
Vardas8614     Pavarde8614     8	10	2	7	2	7	1	8	3	7	
Vardas8615     Pavarde8615     4	4	8	3	4	4	5	6	8	4	
Vardas8616     Pavarde8616     3	7	2	10	3	8	3	2	7	1	
Vardas8617     Pavarde8617     4	7	9	2	10	3	5	9	5	1	
Vardas8618     Pavarde8618     10	8	9	5	8	6	4	4	3	6	
Vardas8619     Pavarde8619     10	2	7	1	3	7	4	7	5	7	
Vardas8620     Pavarde8620     7	3	2	2	1	2	2	4	9	7	
Vardas8621     Pavarde8621     2	10	8	4	3	10	6	2	8	2	
Vardas8622     Pavarde8622     3	1	5	2	1	6	9	8	2	2	
Vardas8623     Pavarde8623     2	7	10	7	3	4	9	7	2	2	
Vardas8624     Pavarde8624     4	4	8	2	2	10	10	7	4	9	
Vardas8625     Pavarde8625     10	5	10	6	1	3	7	1	2	9	
Vardas8626     Pavarde8626     3	4	7	6	5	9	2	3	6	9	
Vardas8627     Pavarde8627     2	3	7	6	2	7	8	6	2	3	
Vardas8628     Pavarde8628     2	8	8	10	9	10	1	5	10	3	
Vardas8629     Pavarde8629     3	3	3	6	1	2	6	3	9	7	
Vardas8630     Pavarde8630     6	1	1	7	10	7	9	1	5	3	
Vardas8631     Pavarde8631     7	5	5	4	9	3	8	8	5	2	
Vardas8632     Pavarde8632     1	3	3	8	10	3	1	10	8	3	
Vardas8633     Pavarde8633     7	6	10	8	9	3	1	3	9	4	
Vardas8634     Pavarde8634     4	3	5	2	2	4	1	2	4	7	
Vardas8635     Pavarde8635     10	10	8	6	9	2	2	4	8	3	
Vardas8636     Pavarde8636     7	9	3	5	10	7	1	9	6	9	
Vardas8637     Pavarde8637     10	8	9	8	9	2	2	10	6	5	
Vardas8638     Pavarde8638     7	3	9	7	9	9	8	3	1	10	
Vardas8639     Pavarde8639     10	2	7	5	5	5	7	8	1	6	
Vardas8640     Pavarde8640     3	6	3	3	2	7	6	9	7	9	
Vardas8641     Pavarde8641     10	5	9	1	1	4	3	1	3	6	
Vardas8642     Pavarde8642     4	10	10	3	8	2	3	10	3	6	
Vardas8643     Pavarde8643     2	8	1	7	10	9	4	9	10	4	
Vardas8644     Pavarde8644     6	2	10	2	1	2	1	6	4	8	
Vardas8645     Pavarde8645     9	8	8	5	7	7	6	1	4	3	
Vardas8646     Pavarde8646     5	4	8	8	5	7	5	6	10	2	
Vardas8647     Pavarde8647     5	7	10	8	5	3	7	6	5	4	
Vardas8648     Pavarde8648     6	3	4	7	2	10	8	2	2	7	
Vardas8649     Pavarde8649     6	1	8	10	7	10	1	2	5	4	
Vardas8650     Pavarde8650     3	4	10	5	2	10	10	5	9	10	
Vardas8651     Pavarde8651     10	4	7	3	7	5	5	4	8	6	
Vardas8652     Pavarde8652     2	5	5	10	7	6	3	2	7	6	
Vardas8653     Pavarde8653     5	4	6	7	3	10	7	9	7	10	
Vardas8654     Pavarde8654     2	2	2	7	6	7	4	10	8	3	
Vardas8655     Pavarde8655     8	10	5	1	2	2	5	2	8	7	
Vardas8656     Pavarde8656     10	10	6	6	5	5	1	2	7	4	
Vardas8657     Pavarde8657     7	10	10	3	2	4	9	9	6	6	
Vardas8658     Pavarde8658     2	3	4	2	2	6	4	9	6	9	
Vardas8659     Pavarde8659     9	5	3	1	7	6	2	6	2	10	
Vardas8660     Pavarde8660     2	1	8	9	2	7	6	6	4	9	
Vardas8661     Pavarde8661     3	5	2	4	1	6	8	9	3	7	
Vardas8662     Pavarde8662     8	6	8	8	7	6	1	9	1	1	
Vardas8663     Pavarde8663     3	8	10	8	9	9	4	1	6	5	
Vardas8664     Pavarde8664     7	6	8	2	5	3	7	6	4	10	
Vardas8665     Pavarde8665     6	8	4	7	9	7	6	5	4	9	
Vardas8666     Pavarde8666     4	5	2	6	2	6	10	8	1	2	
Vardas8667     Pavarde8667     6	4	6	3	4	5	4	2	4	7	
